Frequency,DB(MAG(V(un4))),PHDEG(V(un4)),
1000,-6.020599913279778,-0.009262800002947843,
1258.9254117941673,-6.0205999132798675,-0.011661174310248736,
1584.8931924611136,-6.020599913280011,-0.014680548674864381,
1995.2623149688795,-6.02059991328024,-0.01848171579450931,
2511.8864315095802,-6.020599913280598,-0.02326710168450714,
3162.2776601683795,-6.020599913281167,-0.029291545603826716,
3981.0717055349724,-6.020599913282069,-0.03687587118002581,
5011.872336272723,-6.020599913283501,-0.04642397144753873,
6309.573444801932,-6.020599913285768,-0.058444317644976644,
7943.282347242815,-6.0205999132893595,-0.0735770372034633,
10000,-6.0205999132950545,-0.09262800294784566,
12589.254117941671,-6.020599913304079,-0.11661174892539586,
15848.931924611135,-6.020599913318385,-0.14680549836687515,
19952.623149688796,-6.020599913341055,-0.18481718112651624,
25118.8643150958,-6.020599913376984,-0.2326710630981047,
31622.776601683792,-6.020599913433929,-0.292915548325243,
39810.71705534973,-6.020599913524179,-0.3687588959371147,
50118.72336272723,-6.020599913667211,-0.46424008187713406,
63095.73444801933,-6.020599913893893,-0.5844439095139415,
79432.82347242815,-6.020599914253139,-0.7357718346941162,
100000,-6.020599914822448,-0.9262829478809584,
125892.54117941672,-6.0205999157246035,-1.1661233122740924,
158489.31924611135,-6.02059991715407,-1.4680666022529438,
199526.23149688795,-6.020599919418732,-1.8481949938044087,
251188.643150958,-6.020599923005721,-2.326756887543765,
316227.7660168379,-6.0205999286849625,-2.9292477813903335,
398107.1705534973,-6.020599937671165,-3.6877731315301547,
501187.2336272723,-6.020599951874901,-4.642768332178447,
630957.3444801932,-6.020599974284566,-5.8451725125376734,
794328.2347242815,-6.020600009525415,-7.359182124026029,
1000000,-6.0206000646039355,-9.265751418555183,
1258925.4117941672,-6.02060014963479,-11.66706734411157,
1584893.1924611134,-6.020600277489576,-14.692320106318498,
1995262.3149688796,-6.020600458172874,-18.50524513293271,
2511886.43150958,-6.020600673431968,-23.31418370505877,
3162277.6601683795,-6.020600792431938,-29.38591926915042,
3981071.7055349727,-6.0206004283083505,-37.0655729959226,
5011872.336272723,-6.020600137726192,-46.80708693710498,
6309573.444801932,-6.0206227595424835,-59.224289510084795,
7943282.347242815,-6.020957239870835,-75.1879162636899,
10000000,-6.024676527336365,-96.04502484196797,
12589254.117941672,-6.062720589971703,-124.22260865200019,
15848931.924611134,-6.426893684426054,-164.86367541630446,
19952623.149688795,-8.982761204038274,-224.10646984640562,
25118864.3150958,-16.329100311619353,-283.6653921758518,
31622776.60168379,-25.932195211923684,-324.6721676015347,
39810717.05534972,-35.879635699778156,-353.0932500237732,
50118723.362727225,-45.86696370958597,-374.1296768420605,
63095734.448019326,-55.860812845100256,-390.2331916544699,
79432823.47242814,-65.85702769252092,-402.76134768192117,
100000000,-75.85461345028084,-412.59119506366204,